field,type,meaning,use_in_remote_sensing_project
farm_id,Identifier,Unique farm/sample ID; use as primary key in app and ML tables.,"Join key, API row ID"
health_category,Target label,"Training label: Healthy, Stressed, Diseased, Pests. Missing in Test.csv.",Crop health classification target
crop,Crop information,"Crop grown on polygon. Values: Paddy, Cotton, Maize, Bengal Gram, Groundnut, Chillies, Red Gram.",Crop type filter/model feature
state,Location,"State name, all Telangana.",Admin filter
district,Location,District name in dataset. Challenge has 14 train districts and 12 test districts.,Admin filter/join to boundaries
sub_district,Location,Sub-district/mandal-like field.,Mandal/block filter/join
sowing_date,Crop calendar,SDate parsed to date.,Satellite date filtering; phenology windows
harvest_date,Crop calendar,HDate parsed to date.,End of season filtering
crop_duration_days,Derived calendar,Harvest date minus sowing date. Some values may be unrealistic because dataset is fictional.,Phenology feature/check
crop_covered_area,Crop/farm attribute,Given crop covered area; unit not specified in source.,Model feature; validate before official use
crop_height,Crop status,Given crop height; likely cm but unit not specified.,Crop growth feature
next_crop,Cropping pattern,Planned/next crop.,Rotation feature
previous_crop,Cropping pattern,Previous crop.,Rotation feature
crop_establishment_method,Agronomic practice,"Transplanting, Broadcasting, Drilling, Seed Drilling.",Management feature
irrigation_type,Water management,"Flood, Sprinkler, Drip, Surface.",Water stress/model feature
irrigation_source,Water management,"Canal, Groundwater, Rainfed, Well, Tubewell.",Water stress/model feature
irrigation_count,Water management,Number of irrigations.,Moisture/stress feature
water_coverage,Water management,Water coverage value 20–100; unit/definition not specified.,Moisture proxy/model feature
expected_yield,Yield expectation,Expected yield value; unit not specified.,Outcome/risk feature
season,Crop calendar,Kharif/Rabi.,Season filter/model feature
geometry,Spatial polygon,Farm-level polygon WKT/GeoJSON in EPSG:4326.,"Clip Sentinel-2/Sentinel-1, zonal stats"
"centroid_lat, centroid_lon",Derived spatial,Centroid coordinates computed from polygon.,"Map labels, quick spatial joins"
field_area_ha_from_polygon,Derived spatial,Polygon area computed using EPSG:32644 UTM projection.,Area validation/zonal summary
